"local_cloaking_4","local_cloaking_200","local_cloaking_400","local_cloaking_600","local_cloaking_800","local_cloaking_1000"
7,19,225,340,292,298
2,56,10,226,680,117
11,395,326,732,100,1169
2,5,98,733,374,377
4,45,8,26,1017,258
8,192,186,12,353,1030
8,101,36,253,5,291
4,10,142,656,225,37
1,24,34,30,39,770
24,139,21,13,560,53
1,12,31,34,133,47
4,33,66,85,49,694
2,189,30,272,330,8
5,68,117,546,709,176
3,36,295,415,925,293
7,14,42,165,753,80
2,21,161,21,283,284
3,4,304,98,1418,421
12,473,249,157,172,465
0,167,321,223,1309,542
3,168,38,236,10,14
3,129,202,32,10,190
9,45,119,17,457,936
14,152,230,101,274,15
57,90,27,323,18,1076
1,5,34,52,854,705
16,366,34,122,895,154
2,1,969,87,50,79
2,81,20,163,106,189
12,23,712,93,1306,630
51,86,147,50,316,38
16,148,6,303,297,48
9,443,294,12,657,322
30,24,404,466,733,1064
10,40,181,341,59,8
47,155,1,187,93,323
2,35,179,1559,383,1142
14,376,517,1056,18,808
8,68,4,183,284,69
2,35,2,247,745,990
25,65,76,230,605,244
4,716,102,7,1026,296
9,25,9,45,461,190
3,68,117,200,136,488
15,99,49,76,241,381
4,155,82,59,1434,254
3,402,1,104,127,799
2,77,73,352,1372,379
9,52,3,100,240,353
5,80,458,13,290,227
4,86,64,273,28,264
2,58,69,94,16,233
3,1,67,103,238,198
27,137,121,270,6,75
1,111,75,36,71,354
8,143,140,138,371,667
1,66,165,620,139,549
4,151,20,10,225,984
31,40,99,13,966,532
4,4,2,216,270,444
6,27,560,38,215,926
5,483,154,305,582,750
6,294,367,116,210,1240
12,70,36,127,159,366
1,91,166,1,73,95
1,69,3,1003,365,961
17,55,5,271,1147,146
4,75,128,73,19,510
2,4,258,632,404,156
1,106,224,402,665,321
4,4,8,1421,89,153
2,138,596,21,165,222
3,91,79,127,934,25
19,115,210,406,129,121
5,192,65,523,146,413
13,79,94,847,96,557
2,46,133,19,127,48
13,226,760,121,273,904
5,178,285,123,434,315
3,80,257,627,296,55
40,12,511,113,392,114
4,174,119,490,115,681
1,71,282,669,644,189
3,180,18,488,318,393
11,85,70,406,136,425
40,162,58,193,318,338
1,352,35,63,106,142
19,229,839,1248,648,106
2,23,28,18,294,453
1,100,48,121,11,183
28,373,386,384,118,66
0,19,8,15,480,842
2,25,754,655,442,758
53,18,469,157,88,787
1,107,157,380,169,185
2,129,203,4,44,77
44,57,100,330,425,8
4,13,108,458,370,540
23,1,192,12,801,57
1,41,67,81,258,872
7,26,196,9,206,262
7,118,202,207,408,1149
37,108,46,346,741,15
4,85,312,372,1089,23
3,12,100,419,752,161
15,259,351,362,161,431
2,170,277,136,31,525
6,227,222,570,66,409
8,4,48,59,145,301
0,730,784,143,553,47
24,110,142,198,83,467
6,12,48,167,212,995
4,42,34,436,359,16
120,134,188,789,636,384
40,84,286,253,133,269
3,26,87,778,454,1899
1,230,398,443,833,748
45,533,181,319,187,830
0,107,16,110,185,161
13,4,633,9,136,720
7,52,49,671,422,381
15,222,75,236,101,235
76,42,161,90,76,81
17,550,10,109,5,363
